id,question,syntactic_valid,execution_success,result_match,gold_rows,gen_rows,error
F1.4-000157-P4,Enumerate the variants linked to PSMA1.,✓,✓,✓,0,0,
F1.4-000057-P1,What variants are known for the MT-ND6 gene?,✓,✓,✓,0,0,
F6.1-000029-P1,"In Lung Non-small Cell Carcinoma, which genes confer resistance to Durvalumab or Dacomitinib?",✓,✓,✓,2,2,
F6.1-000155-S1,Which genes predict resistance to Olaparib or Afimoxifene in Malignant Tumor Of The Breast?,✓,✓,✗,3,0,
F6.1-000121-P2,List resistance genes for Paclitaxel or Brigatinib in Cancer.,✓,✓,✓,9,9,
F6.1-000161-S1-P1,"In Malignant Tumor Of The Breast, which genes confer resistance to Pan-AKT Kinase Inhibitor GSK690693 or Aromatase Inhibitor?",✓,✓,✗,3,0,
F6.2-000134-S1,"What therapies target TOP1 but NOT CTLA4, and have biomarker evidence in Carcinoma Of Colon?",✓,✓,✓,1,1,
F6.2-000096-S1,"What therapies target TOP1 but NOT PSMA3, and have biomarker evidence in Carcinoma Of Colon?",✓,✓,✓,1,1,
F6.2-000198-S1-P2,List therapies targeting TOP1 (not PTK6) with evidence in Carcinoma Of Colon.,✓,✓,✗,1,0,
F6.2-000109-S1-P2,List therapies targeting TOP1 (not PSMB6) with evidence in Carcinoma Of Colon.,✓,✓,✗,1,1,
F6.2-000182-S1-P1,Which drugs hit TOP1 but not TACSTD2 with evidence in Colonic Carcinoma?,✓,✓,✗,1,0,
F5.2-000055-S2-P2,Show drugs with variant-based evidence in Primary Myelofibrosis.,✓,✓,✗,2,0,
F5.2-000073-S1-P3,List treatments supported by variant evidence in Osteogenic Sarcoma.,✓,✓,✗,9,0,
F5.2-000083,List therapies with variant-level biomarkers in Breast Angiosarcoma.,✓,✓,✓,1,1,
F2.2-000166-P2,List genes associated with resistance to Imatinib Mesylate in Acute Myeloid Leukemia.,✓,✓,✓,1,1,
F2.2-000101-P3,What genes are resistance biomarkers for Foretinib in Lung Non-small Cell Carcinoma?,✓,✓,✓,1,1,
F2.2-000069-S1-P2,List genes associated with resistance to Radiation Therapy in Squamous Cell Carcinoma Of The Head And Neck.,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '|': expected an expression, ')' or ',' (line 31, column 73 (offset: 1117))
""  collect(DISTINCT p IN reduce(acc = [], l IN all_pmid_lists | acc + l) | p) AS pmids""
                                                                         ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000093-P2,List genes associated with resistance to Multikinase Inhibitor AEE788 in Cancer.,✓,✓,✓,2,2,
F2.2-000073-S1,How does the variant SQSTM1 SQSTM1::NTRK1 Fusion affect response to Larotrectinib in Bronchogenic Lung Adenocarcinoma?,✓,✓,✗,1,0,
F2.2-000076-P1,What is the effect of MTAP Deletion on Anvumetostat in Solid Tumor?,✓,✓,✓,1,1,
F2.2-000077-S2,How does the variant KRAS G12C affect response to Trametinib in Non-small Cell Lung Cancer?,✓,✓,✗,1,0,
F2.2-000085-P3,How does MET Amplification AND MET Splice Site (c.3028G>A) influence response to Crizotinib for Lung Non-small Cell Carcinoma?,✓,✓,✗,1,2,
F4.1-000114-S2-P3,Show treatments hitting AKT1 that have biomarker evidence in Conventional (Clear Cell) Renal Cell Carcinoma.,✓,✓,✗,1,0,
F4.1-000034-S2-P1,What drugs targeting ALK have biomarker evidence in Naevocarcinoma?,✓,✓,✗,10,0,
F4.1-000048-S1-P1,What drugs targeting ALK have biomarker evidence in Tumor Of Soft Tissue And Skeleton?,✓,✓,✗,11,0,
F4.1-000114-S1-P3,Show treatments hitting AKT1 that have biomarker evidence in Clear Cell Kidney Carcinoma.,✓,✓,✗,1,0,
F2.2-000007-S1,Which genes affect response to Infigratinib in Connective And Soft Tissue Neoplasm?,✓,✓,✗,1,0,
F2.2-000095,Which genes affect response to Onartuzumab in Gastric Adenocarcinoma?,✓,✓,✗,1,1,
F2.2-000126-S1-P2,Which genes influence response to Fexagratinib for Non-small Cell Lung Cancer?,✓,✓,✗,1,0,
F2.2-000075-S1-P3,List genes with evidence affecting Dinaciclib in Serous Cystadenoma.,✓,✓,✗,1,0,
F6.4-000051-S2-P2,Which treatments target resistance biomarkers for Entrectinib in Primary Cancer?,✓,✓,✓,0,0,
F6.4-000176-S1-P3,Find alternative therapies targeting resistance genes for U0126 in Malignant Melanoma Of Skin Of Lower Limb.,✓,✓,✗,26,0,
F6.4-000165-S1-P1,"In Malignant Neoplasm Of Breast, what therapies target genes linked to resistance to Alpelisib?",✓,✓,✓,0,0,
F6.4-000199-S2-P2,Which treatments target resistance biomarkers for Trametinib in Naevocarcinoma?,✓,✓,✗,70,0,
F1.3-000056-P3,Identify the gene for the variant VHL Deletion AND R69C (c.205C>T).,✓,✓,✗,1,49,
F1.3-000062-P2,BRCA1 Mutation OR BRCA2 Mutation is a variant of what gene?,✓,✓,✗,1,2,
F2.2-000021-P1,What is the effect of BRAF V600R on Dabrafenib in Skin Melanoma?,✓,✓,✓,1,1,
F2.2-000158-S1-P1,What is the effect of IDH2 Mutation on Venetoclax in Acute Myelogenous Leukaemia?,✓,✓,✗,1,0,
F2.2-000200-P1,What is the effect of KIT Y553_W557DELYEVQW on Sunitinib in Gastrointestinal Stromal Tumor?,✓,✓,✓,1,1,
F2.2-000172-S2-P3,How does EGFR VIII influence response to Pacritinib for Adult Glioblastoma Multiforme?,✓,✓,✗,1,0,
F4.2-000032-P3,Find therapies that target resistance genes for Cisplatin in Transitional Cell Carcinoma.,✓,✗,✗,11,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'GROUP': expected ',', 'ORDER BY', 'CALL', 'CREATE', 'LOAD CSV', 'DELETE', 'DETACH', 'FINISH', 'FOREACH', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REMOVE', 'RETURN', 'SET', 'SKIP', 'UNION', 'UNWIND', 'USE', 'WHERE', 'WITH' or <EOF> (line 19, column 1 (offset: 900))
""GROUP BY gene_symbol_for_agg, disease_name_for_agg""
 ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.2-000199-S2-P2,Which drugs target biomarkers of resistance to Selpercatinib in Non-small Cell Lung Carcinoma?,✓,✓,✗,2,4,
F4.2-000189-P2,Which drugs target biomarkers of resistance to PLX4720 in Skin Melanoma?,✓,✓,✓,0,0,
