id,question,syntactic_valid,execution_success,result_match,gold_rows,gen_rows,error
F3.2-000162-P1,Which drugs target both HDAC8 and HDAC9?,✓,✗,✗,3,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introduce new variables: 'g1'. (line 2, column 35 (offset: 94))
""WHERE EXISTS ((v)-[:VARIANT_OF]->(g1:Gene {symbol: 'HDAC9'}))""
                                   ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F3.2-000005-P1,Which drugs target both ALK and EML4?,✓,✗,✗,4,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'DISTINCT': expected an expression (line 9, column 10 (offset: 256))
""  SELECT DISTINCT t2.name""
          ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F3.1-000046-P3,Show treatments that target FGFR2 or FGFR3.,✓,✗,✗,24,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '{': expected an expression, ')' or ',' (line 12, column 20 (offset: 419))
""    (MATCH (g:Gene {symbol: 'FGFR2'})-[:VARIANT_OF]->(v:Variant) RETURN g.symbol AS gene, v.name AS variant),""
                    ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.2-000016-P2,Which drugs target biomarkers of resistance to Platinum Compound in Ovarian Serous Carcinoma?,✓,✓,✗,2,0,
F4.2-000184-P3,Find therapies that target resistance genes for Imatinib in Melanoma.,✓,✗,✗,85,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'DISTINCT': expected an expression (line 4, column 12 (offset: 131))
""    SELECT DISTINCT g.symbol""
            ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.2-000171-S1-P2,Which drugs target biomarkers of resistance to Dasatinib in Naevocarcinoma?,✗,✗,✗,35,0,Cypher query must include a RETURN clause
F4.2-000042-P3,Find therapies that target resistance genes for Gemcitabine in Pancreatic Adenocarcinoma.,✓,✗,✗,3,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It should therefore only be used in contexts that evaluate to a boolean, e.g. inside the function exists() or in a WHERE-clause. No other uses are allowed, instead they should be replaced by a pattern comprehension. (line 7, column 16 (offset: 292))
""  AND coalesce((t)-[:TARGETS]->(g), []) <> []""
                ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.1-000033-S1-P3,Show treatments hitting ALK that have biomarker evidence in Non-small Cell Lung Carcinoma.,✓,✗,✗,90,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Variable `t` not defined (line 6, column 6 (offset: 149))
""WITH t""
      ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.1-000047-P1,What drugs targeting ALK have biomarker evidence in Diffuse Large B-cell Lymphoma?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '|': expected an expression (line 7, column 26 (offset: 268))
""WHERE any(t IN therapies |""
                          ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F4.1-000072-S1-P3,Show treatments hitting ALK that have biomarker evidence in Stromal Tumour Of Gastrointestinal Tract.,✓,✓,✗,1,0,
F4.1-000096,Which therapies target ALK and also have biomarker evidence in Glioblastoma?,✓,✓,✗,5,0,
F2.2-000116-P3,How does SMARCB1 Deletion influence response to Tazemetostat for Epithelioid Sarcoma?,✓,✓,✗,1,0,
F2.2-000185-S1,How does the variant RPS6 PHOSPHORYLATION affect response to Everolimus in Adenocarcinoma Of Stomach?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 6, column 5 (offset: 150))
""    (v)-[:VARIANT_OF]->(g),""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000010-S1-P1,What is the effect of RET G810S on Selpercatinib in Thyroid Gland Medullary Carcinoma?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: PatternExpressions are not allowed to introduce new variables: 't'. (line 5, column 31 (offset: 206))
""  AND EXISTS((g)-[:TARGETS]->(t:Therapy {name: 'Selpercatinib'}))""
                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000017-S1-P2,Does TP53 Mutation predict response to Eprenetapopt in Malignant Tumor?,✓,✓,✗,2,0,
F1.3-000028,Which gene is BRAF Wildtype a variant of?,✓,✓,✗,1,0,
F1.3-000120-P1,PIK3CA H1047R OR PIK3CA H1047Y OR PIK3CA H1047L OR PIK3CA H1047D OR PIK3CA H1047I OR PIK3CA H1047N OR PIK3CA H1047P OR PIK3CA H1047Q OR PIK3CA H1047T belongs to which gene?,✓,✓,✗,1,0,
F2.2-000180-P3,What genes are resistance biomarkers for Erlotinib in Lung Cancer?,✓,✓,✗,16,0,
F2.2-000101-P3,What genes are resistance biomarkers for Foretinib in Lung Non-small Cell Carcinoma?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'DISTINCT': expected an expression (line 4, column 12 (offset: 124))
""    SELECT DISTINCT g.symbol""
            ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000165,Which genes predict resistance to Docetaxel in Stomach Cancer?,✓,✓,✗,1,0,
F2.2-000166-P2,List genes associated with resistance to Imatinib Mesylate in Acute Myeloid Leukemia.,✓,✓,✗,1,0,
F2.4-000056-P2,Report the consequence for VHL c.340+770T>C.,✓,✓,✗,1,0,
F2.4-000035,What is the consequence of the EGFR R705K variant?,✓,✓,✗,1,0,
F6.2-000012-S1-P3,Show treatments for TOP1 excluding HDAC1 that have biomarker evidence in Ureteral Small Cell Carcinoma.,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'WHERE': expected an expression or ')' (line 11, column 7 (offset: 294))
""      WHERE v IN (""
       ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.2-000094,"What therapies target TOP1 but NOT PSMA1, and have biomarker evidence in Ureter Small Cell Carcinoma?",✓,✓,✗,1,0,
F6.2-000027-P1,Which drugs hit TOP1 but not SRD5A3 with evidence in Ureter Small Cell Carcinoma?,✗,✗,✗,1,0,Cypher query must include a RETURN clause
F6.2-000167-P3,Show treatments for TOP1 excluding POLD3 that have biomarker evidence in Ureter Small Cell Carcinoma.,✓,✓,✗,1,0,
F5.2-000017-P3,List treatments supported by variant evidence in Malignant Pleural Mesothelioma.,✓,✗,✗,8,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Variable `gene_name` not defined (line 2, column 15 (offset: 80))
""WHERE toLower(gene_name) CONTAINS 'malignant pleural mesothelioma'""
               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F5.2-000096-P2,Show drugs with variant-based evidence in T-cell Acute Lymphoblastic Leukemia.,✓,✓,✗,24,0,
F5.2-000015-S1-P1,Which therapies have variant biomarkers in Squamous Cell Carcinomas Of Head And Neck?,✓,✓,✗,60,0,
F5.2-000082,List therapies with variant-level biomarkers in Diffuse Large B-cell Lymphoma.,✓,✗,✗,16,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 5, column 5 (offset: 204))
""    (variant)-[:VARIANT_OF]->(gene),""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000074-P3,How does PXDNL P1460T influence response to Pembrolizumab for Lung Adenocarcinoma?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 6, column 5 (offset: 210))
""    (v)-[:VARIANT_OF]->(g)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
